Entity1,Entity2,Relation,Example
IDG,青葱新媒体,company/company/invest,微商代运营商“青葱新媒体”获得IDG数百万美金天使投资
百度,去哪儿,company/company/invest,百度在2011年6月战略投资去哪儿3.06亿美元
小米科技,板牙科技,company/company/invest, 一家叫“板牙科技”的蓝V企业微博成立了，通过简介了解到，这家公司原来是小米科技投资的车载智能互联网公司
红杉资本,今日头条,company/company/invest,值得一提的是，红杉资本是 Flipagram 和今日头条的共同投资人
蚂蚁金服,永安行,company/company/invest,而本次在获得蚂蚁金服投资的同时，永安行还引入其旗下芝麻信用、口碑等进行合作
福特,Argo AI,company/company/invest,上周，福特对外宣布，其计划在未来5年时间中，向高科技企业Argo AI投资10亿美元（约合68.65亿元人民币），帮助其研发无人驾驶汽车相关的人工智能技术
阿里巴巴,Infinity AR,company/company/invest,在此轮融资完成后，阿里巴巴将成为Infinity AR的最大股东，占股超过22%
软银,Ola,company/company/invest,Ola今日又获软银投资，数额达3.3亿美元。然而这新一轮的融资也是有代价的。
大众,中国中车,company/company/invest,一汽大众也因对中国中车(CRRC)的持续投资，而需要购买用于安装在轨道交通设备上的GPS和GNSS接收机
福特,Pivotal,company/company/invest,据网易汽车报道，此前福特与谷歌曾进行过合作谈判，但至今并未达成一致，此次完成对Pivotal的投资，一方面是看中其主营业务能力，另一方面可以通过其与亚马逊、微软及谷歌等公司的云计算平台技术合作关系，获得并且灵活切换上述科技巨头所提供的云服务
阿里巴巴,和和（上海）影业有限公司,company/company/invest,今天，阿里巴巴影业集团宣布战略投资和和（上海）影业有限公司，投资完成后阿里影业将持有和和影业30%的股份，成为其第二大股东，并派驻两位代表进入和和影业
苹果,软银,company/company/invest,美国苹果公司３日确认，将向日本软银公司创办的技术基金投资１０亿美元
通用,Lyft,company/company/invest,此外，通用汽车还借助其他公司来积极推动移动出行服务，比如向Lyft公司投资5亿美元（约合34亿元人民币）发展搭乘共享服务，斥资10亿美元收购无人驾驶汽车技术初创企业Cruise Automation公司
创新工场,铱云科技,company/company/invest,创新工场作为B+轮投资者加入了铱云科技，与铱云科技“站在了同一条船上”
阿里巴巴,Lumus,company/company/invest,马云又放大招了，投资 AR 企业 Lumus 600 万美元 VR & AR 新闻 2017/01/21 近日，有外媒报道以色列增强现实镜头制造商 Lumus 已获得 600 万美元的投资，而投资方则是来自中国的阿里巴巴
红杉资本,今日头条,company/company/invest,公开资料显示，今日头条的多轮融资发生于2012~2014年，投资方包括SIG、DST、红杉资本、新浪微博，并无国家资本背景
创新工场,小鱼儿科技,company/company/invest,小鱼儿科技发布智能陪伴机器人获创新工场投资
阿里巴巴,Lazada,company/company/invest,在投资层面，阿里巴巴动作频频，投资了Tango、Pepper、MagicLeap、Lazada等海外业务
软银,阿里巴巴,company/company/invest,到了2004年，互联网泡沫的破灭让高盛对中国电子商务前景看衰，其所持有阿里巴巴的股权由GGV接手，套现2200万美元离场，而软银、富达等则继续加码，为阿里提供了8200万美元的巨额战略投资
滴滴出行,ofo,company/company/invest,2016年9月26日，滴滴出行以数千万美元对ofo战略投资
红杉资本,斗鱼TV,company/company/invest,去年3月15日，直播平台斗鱼TV获得腾讯、红杉资本等投资机构1亿美元B轮融资
通用,Lyft,company/company/invest,但是北美市场有其特殊性，一方面是汽车保有量数量比较高，另外一方面是美国的传统汽车厂商并不甘心在这一场消费变革中毫无作为， 通用汽车投资打车平台Lyft，就是最好的例证
晨兴创投,易到,company/company/invest,易到获得晨兴创投等投资公司千万美金级投资
红杉资本,VIPKID,company/company/invest,2016年8月，VIPKID获得云峰基金领投，红杉资本跟投的C轮1亿美金融资，创造全球在线少儿英语教育最大单笔融资
阿里巴巴,软银,company/company/invest,最后，马云再苦等两个小时后获得了孙正义6分钟的交谈时间，最终阿里巴巴获得了日本软银2000万美元的投资
富士康,摩拜单车,company/company/invest,创新工场的创始人李开复在摩拜单车获得富士康战略投资以后，第一时间在微信朋友圈里发了一条微信
红杉资本,谷歌,company/company/invest,在一定程度上，美国的红杉资本可谓风险投资领域中最专业的技术投资者，互联网刚刚兴起时投了雅虎，搜索引擎出现时投了谷歌
福特,Pivotal,company/company/invest,在此轮融资中，Pivotal共将获得总额为2.53亿美元的全新投资，主要来源为新加入的投资方福特汽车公司 和微软公司，还有之前的全部投资者–通用电气、EMC和VMware
蚂蚁金服,Kakao,company/company/invest,进入2017年伊始的蚂蚁金服，同样不负期待，不仅涉足共享单车，同时投资韩国Kakao
DST,ofo,company/company/invest,DST投资ofo的消息就已经不胫而走，但当时恰逢ofo刚宣布C轮融资
软银,Snapdeal,company/company/invest,由日本软银、阿里巴巴参与投资的Snapdeal占据了约12%的市场份额，排在第三位
淡马锡,摩拜单车,company/company/invest,摩拜单车宣布获得D轮后新融资，新引入新加坡投资公司淡马锡(Temasek)的股权投资
滴滴出行,ofo,company/company/invest,"，滴滴出行宣布展露投资ofo,金额数千万美金"
红杉资本,斗鱼直播,company/company/invest,芥末堆讯，今日，斗鱼直播完成15亿元人民币C轮融资，由凤凰资本、腾讯领投，红杉资本中国、南山资本跟投
红杉资本,Jawbone,company/company/invest,到目前为止，Jawbone总共拿到了9.51亿美元的融资，投资方包括红杉资本、摩根大通集团和知名风投公司Andreessen Horowitz
阿里巴巴,三江购物,company/company/invest,2015年以来，阿里巴巴相继入股苏宁云商、联华超市、三江购物，京东则战略入股永辉超市
大众,Gett,company/company/invest,5月24日，大众集团向Gett按需移动出行服务商投资3亿美元，进军汽车共享领域，在欧洲扩张打车服务市场
源政投资,有礼派,company/company/invest,　　根据新芽数据库，有礼派曾于2014年10月获得Pre-A轮融资，由源政投资杨向阳领投
大众,Gett,company/company/invest,Gett的CEO?Shahar Waiser对外宣称，大众集团为本轮融资的独家投资机构，截止目前，Gett的总融资金额已达到5.2亿美元，其他投资方包括Access Industries 以及Kreos Capital（欧洲风险贷款基金会）
软银,阿里巴巴,company/company/invest,离职后，胡以晨接受南华早报 ... 标签： 阿里巴巴 南华早报 淡马锡 南华早报CEO 胡以晨 阅读全文 2016-07-26 分享： 软银出售10亿美元阿里股票 阿里股价应声下跌6.5% 新浪科技讯 北京时间6月2日下午消息，阿里巴巴最大股东软银宣布，新加坡国有财富基金将从其手中购买价值10亿美元的阿里股份
软银,SoFi,company/company/invest,2015年9月30日，SoFi通过官网声明，软银当日以10亿美元领投SoFi
通用,Lyft,company/company/invest,但是令人感到奇怪的是，通用汽车此前还决定与优步竞争对手Lyft公司展开合作，而且通用还向Lyft公司提供了5亿美元的投资
通用,Lyft,company/company/invest,2016年伊始，通用汽车在美国市场就大踏步地进军汽车共享领域：先是向汽车共享服务供应商Lyft投资5亿美元，双方建立长期战略联盟，在美国联合建立自动驾驶汽车综合网络，目标在未来为用户提供安全、便捷的自动驾驶专车服务
阿里巴巴,Infinity AR,company/company/invest,同年11月，阿里巴巴以1500万美元领投了以色列另一家AR公司Infinity?AR
腾讯,海云捷迅,company/company/invest,9月21日消息，腾讯与海云捷迅昨日下午在京共同宣布达成战略投资合作关系，海云捷迅接受腾讯的战略投资，双方将在产品、市场、生态上展开合作。
红杉资本,谷歌,company/company/invest,红杉资本曾投资Google(谷歌)、苹果公司等多家科技企业
晨兴资本,快手,company/company/invest,融资方面，快手已获得四轮融资，投资方包括晨兴资本等
DST,ofo,company/company/invest,ofo则宣布完成D轮4?.5亿美元融资，投资方以DST为主
通用,Lyft,company/company/invest,汽车业与交通运输业都是非常庞大的社会性产业，因此通用对?Lyft?的投资可能在短期内还无法有明显的成效
德国大众,Gett,company/company/invest,今日两个消息：先是欧洲打车软件Gett宣布，与德国大众达成战略合作，后者将向其投资3亿美元。
通用,Lyft,company/company/invest,考虑到通用汽车最近向租车软件Lyft投资了5亿美元，有可能通用的自动驾驶汽车将在被消费者广泛使用之前首先被Lyft与Uber等企业采用
阿里巴巴,Lumus,company/company/invest,业内人士称，鉴于阿里巴巴的资金实力，此次向Lumus投资600万美元并不算大手笔
腾讯,摩拜单车,company/company/invest,接受腾讯投资的摩拜单车，微信小程序只是第一步的合作
软银,阿里巴巴,company/company/invest,此番减股后，日本软银集团所持有的阿里巴巴股份，将会从32%下降到28%左右
沃尔玛,达达,company/company/invest,沃尔玛在中国的实体门店将接入京东到家和京东投资的众包物流平台达达
通用,Lyft,company/company/invest,这家美国最大的传统汽车厂商将给Lyft投资5亿美元，Lyft在获得通用资金的同时，还将得到通用汽车为Lyft司机提供的短期租赁汽车
通用,Lyft,company/company/invest,先投资Lyft又收购Cruise Automation，通用汽车在未来出行上的布局有何深意
红杉资本,TangScan,company/company/invest,TangScan 企业安全平台获红杉资本投资
软银,阿里巴巴,company/company/invest,在抛售之后，软银仍将保持阿里巴巴最大股东的身份，但股份将从32%降至28%
京东,洒哇地咔,company/company/invest,　　洒哇地咔产品的出色表现迅速获得了京东的战略投资
阿里巴巴,优酷土豆,company/company/invest,中国领先视频网站优酷土豆公布，其获得阿里巴巴集团和云锋基金的战略投资，双方共向优酷土豆投资12.2亿美元购入后者普通股，阿里巴巴和云锋将分别获得优酷土豆16.5%和2%股权
福特,Argo AI,company/company/invest,对于Argo AI的投资应该是福特公司自创立以来为自己的主业转型跨出的最大一步，相比丰田、宝马、通用等对手在出行领域的不断探索和频频出手，福特来得虽然晚了一点，但是态度显得同样坚决
通用,Lyft,company/company/invest,在电动（自动驾驶）汽车与共享用车快速发展的时候，现有整车制造商的选择主要有三种：提高研发能力，快速跟进电动车和自动驾驶汽车，比亚迪和奥迪都是这方面的典型；利用自有资源，开设共享用车业务，比如福特的共享用车实验和奔驰的?Car2Share；与共享用车公司合作，弱化两者的竞争，12?月?22?日广汽集团宣布与?Uber?中国开展战略合作，以及本文的通用汽车投资?Lyft?便是这样的商业模式
红杉资本,斗鱼TV,company/company/invest,以腾讯、红杉资本、南山资本等参与投资的斗鱼TV为例，其于2014年成立，在两年时间跃居为国内网络直播平台“大户”，并逐步由游戏直播向体育、综艺、娱乐、户外等直播内容扩张
谷歌,百度,company/company/invest,谷歌曾投资过迅雷、大众点评、百度等中国明星项目
软银,阿里巴巴,company/company/invest,近期，软银以310亿美元(约合2132亿元人民币)的价格收购了英国半导体设计公司安谋科技 孙正义对国人来说并不陌生，他投资阿里巴巴成为中国财经界耳熟能详的人物，之前的投资远见和能力毋庸置疑
华诺创投,华诺创投,company/company/invest,专注于服务美妆门店的互联网平台有礼派完成数千万A++轮融资，本轮由华诺创投领投
红杉资本,谷歌,company/company/invest,创立于1972年美国硅谷，曾投资过思科、雅虎、苹果、谷歌等企业的红杉资本，基于在中国的投资实践，有可能在新的全球化投资中做得更出色
阿里巴巴,驻云科技,company/company/invest,已经成为阿里云使命级合作伙伴的驻云科技宣布获得阿里巴巴超过 5000 万人民币的 B 轮投资
