Entity1,Entity2 ,Relation,Example
软银,阿里巴巴,company/company/invest,离职后，胡以晨接受南华早报 ... 标签： 阿里巴巴 南华早报 淡马锡 南华早报CEO 胡以晨 阅读全文 2016-07-26 分享： 软银出售10亿美元阿里股票 阿里股价应声下跌6.5% 新浪科技讯 北京时间6月2日下午消息，阿里巴巴最大股东软银宣布，新加坡国有财富基金将从其手中购买价值10亿美元的阿里股份
软银,阿里巴巴,company/company/invest,不过马云高兴的忘记了他们所持股权仅有10%左右（此时孙正义的日本软银持股35%左右，雅虎持股35%），这意味着对阿里巴巴的控制权随时都可能要丧失了
软银,阿里巴巴,company/company/invest,2014年9月，阿里巴巴在美国纳斯达克成功上市后，孙正义的日本软银套现了阿里巴巴的7%左右的股份用于软银集团的账务偿还，此时在软银在阿里的持股比例下降到了28%左右
软银,阿里巴巴,company/company/invest,软银集团掌门孙正义，是在中国互联网市场大名鼎鼎的投资家，孙正义通过投资阿里巴巴获得了丰厚的回报，不过软银在过去的16年时间里，从来没有抛售过阿里巴巴股权，表明对于该公司的长远发展充满信心
软银,阿里,company/company/invest,为了收购ARM，软银首次抛售阿里股权，截至目前，该公司仍然持有阿里巴巴28%的股权
软银,阿里巴巴,company/company/invest,近期，软银以310亿美元(约合2132亿元人民币)的价格收购了英国半导体设计公司安谋科技 孙正义对国人来说并不陌生，他投资阿里巴巴成为中国财经界耳熟能详的人物，之前的投资远见和能力毋庸置疑
软银,阿里巴巴,company/company/invest,在抛售之后，软银仍将保持阿里巴巴最大股东的身份，但股份将从32%降至28%
红杉资本,VIPKID,company/company/invest,2014年10月，VIPKID获得经纬中国领投、创新工场和红杉资本联合投资的500万美元A轮融资
红杉资本,VIPKID,company/company/invest,2015年10月，VIPKID获得由北极光创投领投，经纬中国、红杉资本和创新工场的近2000万美元B轮融资
红杉资本,VIPKID,company/company/invest,2016年8月，VIPKID获得云峰基金领投，红杉资本跟投的C轮1亿美金融资，创造全球在线少儿英语教育最大单笔融资
红杉资本,今日头条,company/company/invest,今日头条已经完成了D轮融资，估值超过之前市场广为猜测的100亿美金，高达120亿，投资人除去此前的红杉资本和海纳亚洲外，还新加入了建银国际
红杉资本,今日头条,company/company/invest,这不，刚好遇上有心海外扩张和入局短视频领域，有着同一投资者红杉资本的今日头条
红杉资本,今日头条,company/company/invest,公开资料显示，今日头条的多轮融资发生于2012~2014年，投资方包括SIG、DST、红杉资本、新浪微博，并无国家资本背景
红杉资本,今日头条,company/company/invest,值得一提的是，红杉资本是 Flipagram 和今日头条的共同投资人
红杉资本,Jawbone,company/company/invest,到目前为止，Jawbone总共拿到了9.51亿美元的融资，投资方包括红杉资本、摩根大通集团和知名风投公司Andreessen Horowitz
红杉资本,Jawbone,company/company/invest,从1999年成立至今，Jawbone共融资近9.51亿美元，投资方包括安德森·霍罗威茨(Andreessen Horowitz)、红杉资本、凯鹏华盈、摩根大通、梅菲尔德(Mayfield)、科斯拉(Khosla)等著名机构
红杉资本,Jawbone,company/company/invest,同样Jawbone的投资方名单也非常豪华，其中包括安德森-霍洛维茨、摩根大通的Digital Growth Fund、KPCB、Khosla Ventures，以及红杉资本
红杉资本,谷歌,company/company/invest,红杉资本曾投资Google(谷歌)、苹果公司等多家科技企业
红杉资本,谷歌,company/company/invest,在一定程度上，美国的红杉资本可谓风险投资领域中最专业的技术投资者，互联网刚刚兴起时投了雅虎，搜索引擎出现时投了谷歌
红杉资本,谷歌,company/company/invest,创立于1972年美国硅谷，曾投资过思科、雅虎、苹果、谷歌等企业的红杉资本，基于在中国的投资实践，有可能在新的全球化投资中做得更出色
红杉资本,谷歌,company/company/invest,美国红杉资本成立于1972年，从硅谷起步，迄今投资了700多家公司，这其中，包括了苹果、谷歌、雅虎、甲骨文等国际科技巨头
红杉资本,谷歌,company/company/invest,带来数量级提高的某项技术或者商业模式，无论其出现时的经济大环境如何，总会遇到识货的伯乐（比如谷歌就是在互联网泡沫破灭期创立的，首笔融资的出资方就有世界顶级投资机构红杉资本）
红杉资本,Google,company/company/invest,在他背后，是红杉资本（Sequoia Capital）所投资并已上市的公司Logo墙，包括苹果电脑、YAHOO！、思科、Google等
红杉资本,Flipagram,company/company/invest,Flipagram最近一轮融资发生在2015年7月，获得包括红杉资本、KPCB（全球）和IndexVentures在内的投资方7000万美元B轮融资
红杉资本,Flipagram,company/company/invest, 2015年，Flipagram获得来自红杉资本、KPCB和Index Venturers的7000万美元B轮投资，估值已近3亿美元
红杉资本,Qualtrics,company/company/invest,终于，在2012年5月，Accel Partners 3年的坚持收获正果，前者与红杉资本联合对Qualtrics投资7000万美元
红杉资本,斗鱼TV,company/company/invest,去年3月15日，直播平台斗鱼TV获得腾讯、红杉资本等投资机构1亿美元B轮融资
红杉资本,斗鱼,company/company/invest,不过话说回来了，斗鱼怎么变得这么“富”了？ 斗鱼 TV 背后是红杉资本中国、奥飞动漫以及后来者腾讯
红杉资本,斗鱼TV,company/company/invest,以腾讯、红杉资本、南山资本等参与投资的斗鱼TV为例，其于2014年成立，在两年时间跃居为国内网络直播平台“大户”，并逐步由游戏直播向体育、综艺、娱乐、户外等直播内容扩张
红杉资本,斗鱼直播,company/company/invest,近期直播行业较大的一笔融资事件为：2016年8月15日消息，斗鱼直播获15亿人民币C轮融资，由凤凰资本、腾讯领投，       红杉资本中国、南山资本跟投
红杉资本,斗鱼,company/company/invest,今年3月，斗鱼宣布完成1亿美元B轮融资，其中，腾讯出资4亿人民币领投，红杉资本、南山资本跟投
红杉资本,斗鱼直播,company/company/invest,芥末堆讯，今日，斗鱼直播完成15亿元人民币C轮融资，由凤凰资本、腾讯领投，红杉资本中国、南山资本跟投
红杉资本,斗鱼直播,company/company/invest,据公开资料显示，此前斗鱼直播已获3轮融资：2014年4月，获2000万人民币天使轮融资；2014年9月，获红杉资本中国1.1亿元A轮融资；2016年3月，获腾讯、红杉资本中国、南山资本6.5亿元B轮融资
红杉资本,斗鱼,company/company/invest,2016年三月斗鱼完成一亿美元（6.7亿人民币）B轮投资，其中腾讯领头4亿，A轮投资者红杉资本及南山资本跟投，估值超过十亿美元
红杉资本,斗鱼TV,company/company/invest,今年3月，腾讯出资4亿元领投斗鱼TV的B轮融资，红杉资本追加投资，跟投方还包括南山资本等
红杉资本,斗鱼直播,company/company/invest,9月17日消息，斗鱼直播平台的运营网站广州斗鱼网络科技有限公司，在近日获得了风投 公司红杉资本中国基金的投资，具体的投资金额和详细信息尚不知晓
红杉资本,瓜子二手车,company/company/invest,同年3月30日，瓜子二手车宣布完成2 .045亿美元A轮融资，投资方为红杉资本、光信资本等
红杉资本,京东金融,company/company/invest,京东金融完成66.5 亿元融资，红杉资本中国基金，嘉实投资和中国太平领投，估值466.5 亿元 ，京东集团仍控制多数股权
福特,Argo AI,company/company/invest,另一位前谷歌汽车项目高管布莱恩·萨尔斯基(Bryan Salesky)离职后建立了Argo AI，就在上周刚刚得到了来自福特汽车公司10亿美元的投资
福特,Argo AI,company/company/invest,相信投资Argo AI公司将给福特带来巨大价值
福特,Argo AI,company/company/invest,福特已经宣布向无人驾驶初创公司ArgoAI投资10亿美元
福特,Argo AI,company/company/invest,福特汽车计划在未来五年向Argo AI投资10亿美元，旨在将福特自动驾驶汽车研发专长与Argo AI在机器人及人工智能软件领域的初创成功经验相结合，进一步推进在自动驾驶汽车领域的技术发展 　　•Argo AI由前谷歌和Uber高管创立，公司将把福特内外部的机器人专家和工程师纳入旗下，为即将在2021年推出的福特全自动驾驶车辆开发一款新型软件平台；Argo AI员工可通过参股，共享初创企业的成长 　　•对Argo AI的投资不仅能加强福特在短期内将自动驾驶车辆推向市场的领导地位，而且能在未来创造出可授权其他公司使用的新技术 　　美国旧金山，2017年2月10日――福特汽车公司近日宣布，计划在未来五年向人工智能企业Argo AI投资10亿美元，为福特计划于2021年推出的自动驾驶汽车开发虚拟驾驶系统，这一技术有望在今后被授权于其他公司使用
福特,Argo AI,company/company/invest,“未来十年将由汽车的自动化来定义，自动驾驶车辆将与福特汽车100多年前首次采用装配流水线一样，对社会产生重大影响，”福特汽车公司总裁兼首席执行官马克•菲尔兹(Mark Fields)表示，“福特汽车致力于成为一家汽车与移动出行公司，我们认为对Argo AI的投资将强化福特在自动驾驶领域的领导地位地位，既可以让我们在短期内将自动驾驶车推向市场，又能同时研发可授权他人使用的技术，为我们的股东创造巨大的价值
福特,Argo AI,company/company/invest,对Argo AI的10亿美元投资将在未来五年进行，这项投资符合福特自动驾驶汽车资金分配方案原则，该方案已于去年九月在“福特投资者日”上公布
福特,Argo AI,company/company/invest,"福特对Argo AI投资10亿美元 正式步入无人驾驶行列,据国外科技新闻报道，知名汽车制造商福特汽车公司(Ford Motor Co)日前宣布，计划在未来五年对初创科技公司Argo AI投资10亿美元，这将是福特在无人驾驶领域最大一笔投资"
福特,Argo AI,company/company/invest,投资Argo AI是福特公司布局无人驾驶汽车计划的一部分。
福特,Argo AI,company/company/invest,美国当地时间2月10日，福特公司对外宣布将向位于匹兹堡的人工智能初创公司Argo AI投资10亿美元，成为该公司的实际控制方，而Argo AI将会为福特公司开发自动驾驶所必需的软件系统
通用,Lyft,company/company/invest,通用汽车公司就以10亿美元买下了位于旧金山的Cruise Automation公司，并向打车服务公司Lyft投资了5亿美元;
福特,Velodyne,company/company/invest,福特自己也已经投资了研发车载激光雷达的Velodyne公司，以及以色列研发机器学习和计算机视觉的公司SAIPS
福特,Argo AI,company/company/invest,Argo AI 的灵活性也同样弥补了福特的规模化所带来的问题，福特的布局中也正好缺少这样一环，而目前相对成熟的公司多已经被收购或投资，亦或有着与福特不同的愿景，所以「新公司老江湖」也许是福特看好这笔投资的原因之一
福特,Argo AI,company/company/invest,福特汽车公司总裁兼 CEO 马克 · 菲尔兹（Mark Fields）也解释说，「我们认为对 Argo AI 的投资将强化福特在自动驾驶领域的领导地位地位，既可以让我们在短期内将自动驾驶车推向市场，又能同时研发可授权他人使用的技术，为我们的股东创造巨大的价值
福特,Argo AI,company/company/invest,科技传媒网讯 据国外科技新闻报道，知名汽车制造商福特汽车公司(Ford Motor Co)日前宣布，计划在未来五年对初创科技公司Argo AI投资10亿美元，这将是福特在无人驾驶领域最大一笔投资
福特,Argo AI,company/company/invest,上周，福特对外宣布，其计划在未来5年时间中，向高科技企业Argo AI投资10亿美元（约合68.65亿元人民币），帮助其研发无人驾驶汽车相关的人工智能技术
福特,Civil Maps,company/company/invest,福特还投资了Civil Maps，用于自动驾驶汽车的高级地图测绘技术研发
福特,Argo AI,company/company/invest,不过据一位在硅谷某互联网汽车企业工作的员工向第一财经记者透露，Salesky最早是做硬件出身的，是卡内基梅隆大学的老兵，后来又去谷歌待了6年，拥有非常广的人脉，福特投资ArgoAI也在情理之中
福特,Argo AI,company/company/invest,对于Argo AI的投资应该是福特公司自创立以来为自己的主业转型跨出的最大一步，相比丰田、宝马、通用等对手在出行领域的不断探索和频频出手，福特来得虽然晚了一点，但是态度显得同样坚决
大众,Gett,company/company/invest,在那些寻求在共享汽车领域获得更多业务的大型汽车制造商中，大众汽车已经投资了打车应用Gett，通用汽车与Lyft达成了合作，丰田也与Uber达成了合作
丰田,Uber,company/company/invest,丰田公司在上世纪90年代就开始自动驾驶技术的研究，去年宣布将向Uber投资
通用,Lyft,company/company/invest,去年，通用汽车公司以10亿美元收购了无人驾驶技术初创公司Cruise Automation，并投资5亿美元收购了网约车公司Lyft的9%股份
大众,中国中车,company/company/invest,一汽大众也因对中国中车(CRRC)的持续投资，而需要购买用于安装在轨道交通设备上的GPS和GNSS接收机
德国大众,Gett,company/company/invest,今日两个消息：先是欧洲打车软件Gett宣布，与德国大众达成战略合作，后者将向其投资3亿美元。
丰田,Uber,company/company/invest,几个小时后，Uber正式对外确认，获得丰田汽车的战略投资，但并未披露此次投资金额。
保时捷,Evopar,company/company/invest,保时捷投资了泊车服务商Evopark；
大众,Hubject,company/company/invest,大众投资了“电子漫游”平台Hubject，该公司成立于2012年，专门连接各个电动汽车充电站点。
雪铁龙,Koolicar,company/company/invest,标致雪铁龙集团投资了法国汽车租赁平台Koolicar
雪铁龙,神龙汽车,company/company/invest,神龙汽车是由中国东风汽车与法国标致雪铁龙集团公司(PSA)共同投资成立的合资企业，旗下品牌有东风标致、东风雪铁龙两品牌。
东风汽车,神龙汽车,company/company/invest,神龙汽车是由中国东风汽车与法国标致雪铁龙集团公司(PSA)共同投资成立的合资企业，旗下品牌有东风标致、东风雪铁龙两品牌。
丰田,Uber,company/company/invest,丰田公司在上世纪90年代就开始自动驾驶技术的研究，去年宣布将向Uber投资
通用,Lyft,company/company/invest,此外，通用汽车还借助其他公司来积极推动移动出行服务，比如向Lyft公司投资5亿美元（约合34亿元人民币）发展搭乘共享服务，斥资10亿美元收购无人驾驶汽车技术初创企业Cruise Automation公司
通用,Lyft,company/company/invest,2016年，通用汽车花费近10亿美元资金收购自动驾驶技术初创公司Cruise Automation、向网约租车公司Lyft投入5亿美元、发布了全新车辆共享品牌Maven，还发布了一款全新电动汽车雪佛兰Bolt
通用,Lyft,company/company/invest,"Lyft应用下载数超过Uber 打车应用北美决战来临? Lyft作为全美第二大打车应用,在通用入股之后,最近表现比较“彪悍”，来自第三方应用跟踪公司App Annie的数据表明Lyft超过Uber在iOS中的下载次数"
通用,Lyft,company/company/invest,但是北美市场有其特殊性，一方面是汽车保有量数量比较高，另外一方面是美国的传统汽车厂商并不甘心在这一场消费变革中毫无作为， 通用汽车投资打车平台Lyft，就是最好的例证
通用,Lyft,company/company/invest,自今年初，通用投资Lyft之后，通用在交通出行领域也推出了自己的出行服务Maven
通用,Lyft,company/company/invest,但是令人感到奇怪的是，通用汽车此前还决定与优步竞争对手Lyft公司展开合作，而且通用还向Lyft公司提供了5亿美元的投资
通用,Lyft,company/company/invest,作为对新一代叫车公司投资的一部分，通用汽车同意为Lyft公司的Express Drive项目提供车辆——这是一个与优步-通用试点项目类似的租赁项目，但没有具体的截止日期
通用,Lyft,company/company/invest,今年年初，通用汽车对Lyft投入了5亿美元。齐默称，Lyft正携手通用汽车开发无人驾驶汽车，并计划在未来五年内让开发的无人驾驶汽车在大城市完成绝大多数的订单
通用,Lyft,company/company/invest,先投资Lyft又收购Cruise Automation，通用汽车在未来出行上的布局有何深意
通用,Lyft,company/company/invest,除与分时租赁等服务公司开展合作外，通用还曾为美国Lyft公司投资5亿美元，该公司是一家提供专车服务的公司
通用,Lyft,company/company/invest,今年以来，通用汽车已宣布与汽车共享服务公司Lyft建立战略联盟，并发布了个人出行品牌Maven，将在美国诸多城市拓展车辆共享服务，预计通用也会加入该阵营，毕竟通用现在是Lyft最大的企业投资者，刚在1月投了5亿美元
通用,Lyft,company/company/invest,放长线、钓大鱼 据报道，通用对Lyft的投资有一个明确的目的，研发一队无人驾驶出租车
通用,Lyft,company/company/invest,考虑到通用汽车最近向租车软件Lyft投资了5亿美元，有可能通用的自动驾驶汽车将在被消费者广泛使用之前首先被Lyft与Uber等企业采用
通用,Lyft,company/company/invest,正当技术公司抢走传统车企风头，打算颠覆汽车这个已有百年历史的 “古老” 行业之际，通用汽车靠投资打车应用 Lyft、收购共享乘车服务 Sidecar 的技术与资产，任命自动驾驶项目负责人等一系列组合拳向进入者发出明确的信号：这是我的地盘
通用,Lyft,company/company/invest,通用汽车之前已经投资Lyft五亿美元，今年一月份，通用汽车在美国斥资5亿美元与Lyft专车服务公司建立长期战略联盟
通用,Lyft,company/company/invest,Lyft在2015年底完成了一轮10亿美元(65亿元人民币)的融资，其中从通用汽车公司融得了5亿美元(32.5亿元人民币)
通用,Lyft,company/company/invest,在Lyft的F轮融资中，通用汽车向Lyft投资5亿美元，同时双方将在面向Lyft司机的汽车租赁服务和无人驾驶汽车方面进行合作
通用,Lyft,company/company/invest,2016年伊始，通用汽车在美国市场就大踏步地进军汽车共享领域：先是向汽车共享服务供应商Lyft投资5亿美元，双方建立长期战略联盟，在美国联合建立自动驾驶汽车综合网络，目标在未来为用户提供安全、便捷的自动驾驶专车服务
通用,Lyft,company/company/invest,通用出资 5 亿美元，领投了 Lyft 总额为 10 亿美元的 F 轮融资，并且获得 Lyft 董事会的一个席位
通用,Lyft,company/company/invest,这是近期以来通用第二次在汽车共享方面进行投资，1月初该公司已经在Uber的竞争对手Lyft公司投资5亿美元，同时在Lyft董事会获得了一个席位
通用,Lyft,company/company/invest,去年十二月，通用又注资5亿美元（约32.9亿元）至莱福特（Lyft），在与同优步（Uber）竞争的同时，建立一个自动、按需服务的车辆服务体系
通用,Lyft,company/company/invest,这家美国最大的传统汽车厂商将给Lyft投资5亿美元，Lyft在获得通用资金的同时，还将得到通用汽车为Lyft司机提供的短期租赁汽车
通用,Lyft,company/company/invest,通用的投资属于 Lyft 10 亿美元 F 轮融资的其中一部分，日本电商巨头乐天集团、沙特王国控股、骏利资产集团也参与了此次融资，使得 Lyft 最新估值达到 55 亿美元
